新馬辣,水源市場到師大分部,汀州路三段295號,午餐635晚餐725,$$$$$,台式,鍋物,鍋物,葷,有,50+,"日一二三四五六,0000-0200/1130-2400",mala.png,C
Rebirth Cafe & Restaurant,溫州街,106台北市大安區溫州街48巷2號,200-300,$$ $$$,中式 西式 日式,烤物、飯、麵,米食 麵食 烤物,葷,有,40,"日一二三四五六,0000-0200/1400-2400",snow.png,C H
AGCT apartment,溫州街,106台北市大安區溫州街49巷2-2號號3F,200-250,$$ $$$,西式,派、三明治、沙拉、麵,麵食 三明治 沙拉 派,葷,有,20,"日一二三四五六,1200-1800",pasta02.png,C H
找到咖啡,溫州街,106台北市大安區羅斯福路四段1號2樓,250-400,$$$ $$$$,西式 中式 日式,飯、排餐、麵包,米食 排餐 麵包,葷,有,50+,"日一二三四五六,1000-2000",steak.png,C H
轉角咖啡 L'angolo Caff?,118,106台北市大安區和平東路二段96巷53號,150-200,$$,西式,糕點、輕食,輕食,有提供素食,有,20,"日一二三四五六,0900-1900",coffee01.png,C H
貝菈小屋,118,106台北市大安區辛亥路二段159號,160-270,$$ $$$,西式,麵,麵食,有提供素食,有,30,"日一二三四五六,1130-1430/1700-2100",pasta01.png,C H
厚宅,118,106台北市大安區辛亥路二段169號,110-190,$$,日式,飯,米食,葷,有,40,"一二三四五六,1100-1400/1700-2000",curry01.png,C
lazy thai,118,106台北市大安區辛亥路二段165號,100-150,$ $$,東南亞料理,飯,米食,有提供素食,有,30,"日一二三四五六,1130-1400/1700-2000",southeast.png,C H
starbucks,118,106台北市大安區辛亥路二段175號,90-200,$ $$,西式,咖啡、糕點、輕食,輕食 糕點,有提供素食,有,50,"一二三四五,0630-2000 六日,0630-1900",starbucks.png,C H
JJ's Poke & Cafe,118,106台北市大安區辛亥路二段199號,80-150,$ $$,美式,飯,米食,有提供素食,有,40,"日一二三四五六,1100-2000",poke.png,H
正香馬來西亞餐室,118,106台北市大安區辛亥路二段203號,100-200,$ $$,南洋料理 東南亞料理,飯,米食,葷,有,40,"日一三四五六,1130-1400/1730-2000",southeast.png,C H
蘇草,118,106台北市大安區辛亥路二段209號,120-300,$$ $$$,西式,麵、飯、糕點、輕食,米食 麵食 輕食 糕點,有提供素食,有,30,"日一二三四五六,1000-2100",coffee01.png,C H
露易莎,118,106台北市大安區辛亥路二段205號,40-80,$,西式,糕點、輕食,糕點 輕食,有提供素食,有,50+,"日一二三四五六,0730-2000",louisa.png,C H
川味辛亥小吃,118,106台北市大安區辛亥路二段201號,300-500,$$$ $$$$,中式,飯,米食,葷,有,40,"日二三四五六,1100-2000",beefndl.png,C
喜川麵館,118,106台北市大安區辛亥路二段215號,100-150,$ $$,中式,麵,麵食,葷,有,30,"日一二三四五六,1130-1400/1700-2000",beefndl.png,C
Gugo Kitchen 無國界料理x融合式空間,118,106台北市大安區羅斯福路四段1號(社科院),100-200,$ $$,西式,義大利麵,麵食,有提供素食,有,50+,"日一二三四五六,0830-2100",pasta01.png,C H
BeansLab coffee 豆研咖啡館,118,106台北市大安區辛亥路二段171巷6弄6號,200-300,$$ $$$,西式,糕點、輕食,糕點 輕食,有提供素食,有,20,"日一二三四五六,0900-1800",coffee01.png,H
大李水餃,118,106台北市大安區和平東路二段118巷54弄35號,50-100,$,台式,麵、水餃,麵食 水餃,葷,有,40,"一二三四五六,1130-1400/1700-2000",dumpling.png,C H
韓喜堂,118,106台北市大安區和平東路二段118巷54弄29號,100-200,$ $$,韓式,飯、麵,米食 麵食,葷,有,40,"一二三四五六,1100-1930",korean.png,C H
麻吉食堂,118,106台北市大安區和平東路二段118巷54弄18號,80-150,$ $$,台式,飯、漢堡,飯食 漢堡,葷,有,30,"一二三四五,1130-1400/1700-1945",bento.png,C H
淺草日式飯糰,118,106台北市大安區和平東路二段118巷54弄13號,25-50,$,日式,飯,米食,有提供素食,有,5,"一二三四五六,0700-1800",onigiri.png,C H
合益佳雞肉飯,118,106台北市大安區和平東路二段118巷54弄7號,50-100,$,台式,飯、麵,米食 麵食,葷,有,40,"一二三四五,1100-1400/1600-2050",porkrice.png,C H
微笑廚房洋食館,118,106台北市大安區和平東路二段118巷54弄3號,100-200,$ $$,西式,義大利麵,麵食,有提供素食,有,40,"一二三四五六,1130-1430/1700-2000",pasta02.png,C H
咖哩戰線,118,106台北市大安區和平東路二段118巷54弄9號,50-100,$,日式,飯,米食,葷,有,40,"日一二三四五六,1100-2000",curry01.png,C
北方風味麵食之家,118,106台北市大安區和平東路二段118巷54弄11號,70-100,$,中式,麵、水餃,麵食 餃類,葷,有,30,"一二三四五,1100-1400/1600-2000",dumpling.png,C H
安好食,118,106台北市大安區和平東路二段118巷54弄6號,40-80,$,日式,麵、輕食,麵食 輕食,葷,有,20,"一二三四五,0700-1400",bf.png,C H
蔥燉牛肉麵,118,106台北市大安區和平東路二段118巷54弄1號,60-150,$ $$,台式,麵、水餃,麵食 餃類,葷,有,30,"日一二三四五,1100-1500/1700-2000",beefndl.png,C H
遊藝思文創空間,118,106台北市大安區辛亥路二段171巷15號,150-300,$$ $$$,西式,咖啡、糕點、輕食,糕點 輕食,葷,有,20,"日二三四五六,1100-2300",coffee01.png,H
親來食堂,118,106台北市大安區和平東路二段118巷52弄14號,70-110,$ $$,台式,飯,米食,葷,有,20,"一二三四五,1130-1400/1700-1930",bento.png,C H
上品食堂,118,106台北市大安區和平東路二段118巷52弄3號,70-150,$ $$,台式,飯,米食,葷,有,50+,"一二三四五六,1100-2000",bento.png,C H
台大黑飯糰,118,106台北市大安區辛亥路二段171巷10號,30-60,$,台式,飯,米食,有提供素食,無,0,"一二三四五,0600-1030",bf.png,C H
北方大陸餅,118,106台北市大安區辛亥路二段171巷12號,30-100,$,中式,輕食,輕食,有提供素食,無,0,"一二三四五六,0600-1300",bf.png,C H
揪食堂,118,106台北市大安區辛亥路二段171巷25號,150-250,$$ $$$,韓式,飯、麵,米食 麵食,葷,有,40,"一二三四五六,1130-1430/1730-2030",korean.png,C H
四面八方,118,106台北市大安區復興南路二段340巷10號,70-100,$,中式,麵、水餃,麵食 餃類,葷,有,40,"日一二三四五六,1100-2100",noodle.png,C H
願有記,118,106台北市大安區復興南路二段340巷7號,50-100,$,中式 港式,輕食,輕食,葷,有,30,"一二三四五六,1130-2030",negi.png,C H
山林美食館,118,106台北市大安區辛亥路二段171巷31號,50-100,$,台式,輕食,輕食,葷,有,20,"日一二三四五六,0430-1330",bf.png,C H
九品早餐店,118,106台北市大安區辛亥路二段171巷27號,50-100,$,台式,輕食,輕食,葷,有,20,"一二三四五六,0530-1400",bf.png,C H
96巷麵店,118,106台北市大安區和平東路二段96巷12-2號,40-70,$,台式,麵,麵食,葷,有,40,"日二三四五六,0640-1420",noodle.png,C H
陳金水,118,106台北市大安區和平東路二段96巷12號,50-100,$,中式,麵,麵食,葷,有,20,"日一二三四五六,0630-1430",noodle.png,C H
香料廚房,118,106台北市大安區和平東路二段96巷10弄1號,200-300,$$ $$$,中式 西式,飯、麵,米食 麵食,葷,有,40,"一二三四五六,1100-2100",southeast.png,C H
謝老闆涼麵,118,106台北市大安區和平東路二段96巷8號,40-60,$,台式,飯、麵,米食 麵食,有提供素食,有,20,"一二三四五六,0730-1400",coldnoodle.png,H
邦食堂,118,106台北市大安區和平東路二段96巷17弄28號,120-170,$$,日式,飯,米食,葷,有,30,"一二三四五六,1130-1400/1730-2000",donburi.png,C H
此燈亮有餅,118,106台北市大安區和平東路二段118巷44號,40-100,$,中式,麵、米粉,麵食,葷,有,20,"日一二三四六,1100-2030",negi.png,C H
台越美食,118,106台北市大安區和平東路二段96巷15-1號,70-100,$,東南亞料理,飯、河粉,米食 麵食,葷,有,20,"一二三四五六,1100-2030",vietnam.png,C H
Stoppage Time補時,118,106台北市大安區和平東路二段96巷15弄30號,150-250,$$ $$$,西式,咖啡、糕點、輕食,糕點 輕食,有提供素食,有,30,"日一二三四五六,1100-2300",coffee01.png,H
3隻貓頭鷹文創,118,106台北市大安區和平東路二段96巷15弄38號,200-350,$$ $$$ $$$$,美式,漢堡、輕食,漢堡 輕食,有提供素食,有,50+,"一二三四五,1100-2100 六日,0900-2130",coffee01.png,C H
蔬菓in,118,106台北市大安區辛亥路二段221-1號,40-80,$,中式,麵、飯、輕食,米食 麵食 輕食,全素,有,20,"日一二三四六,1100-1500/1630-2000",coffee01.png,C H
台灣第一腿,118,106台北市大安區和平東路二段118巷73號,80-90,$,中式 東南亞料理,飯,米食,葷,有,30,"日一二三四五六,1000-2000",bento.png,C H
高和食堂,118,106台北市大安區和平東路二段118巷60號,100-300,$ $$ $$$,日式,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1130-2030",ramen01.png,C H
源士林粥品,118,106台北市大安區和平東路二段118巷67-1號,70-120,$ $$,台式,粥,米食,有提供素食,有,30,"日一二三四五六,1100-2040",okayu.png,C
珍品味泰式碳烤(師大第一腿),118,106台北市大安區和平東路二段118巷67號,100-130,$ $$,東南亞料理,飯,米食,葷,有,30,"一二三四五六,1030-2000",bento.png,C H
二八麵堂,118,106台北市大安區和平東路二段118巷65-4號,30-100,$,台式,飯、麵,米食 麵食,有提供素食,有,40,"一二三四五六,1100-1500/1700-2000",noodle.png,C H
紫牛平價牛排,118,106台北市大安區和平東路二段118巷69號,120-250,$$ $$$,美式 西式,牛排,排餐,葷,有,50,"日一二三四五六,1130-2100",steak.png,C H
師大附中水煎包,118,106台北市大安區和平東路二段118巷63號,15-30,$,台式,輕食,輕食,有提供素食,有,10,"一二三四五六,0630-1130",negi.png,C H
李記水餃,118,106台北市大安區和平東路二段118巷54弄1號,50-100,$,台式,麵、水餃,麵食 餃類,葷,有,40,"一二三四五六,1100-1400/1700-2000",dumpling.png,C H
穰穰,118,106台北市大安區和平東路二段118巷61-1號,35-130,$ $$,台式,飯、麵,米食 麵食,葷,有,50+,"一二三四五,1100-1400/1700-2000 六,1100-1500",noodle.png,C H
憶馬當鮮,118,106台北市大安區和平東路二段118巷61號,120-280,$$ $$$,南洋料理,飯、麵,米食 麵食,有提供素食,有,40,"日一二三四五,1130-1400/1700-2000",southeast.png,C H
笑嘻嘻港式現炒飯麵,118,106台北市大安區和平東路二段118巷59號,80-115,$ $$,中式 港式,飯、麵,米食 麵食,葷,有,40,"日一二三四五六,1100-1430/1700-2100",chahan.png,C H
五九麵館,118,106台北市大安區和平東路二段118巷59號,40-115,$ $$,中式,麵,麵食,有提供素食,有,40,"一二三四五,1100-1400/1700-2000 六,1100-1500",noodle.png,C H
郭董麻辣牛肉麵,118,106台北市大安區和平東路二段118巷59號,65-135,$ $$,中式,麵,麵食,葷,有,30,"日一二三四五六,1130-1430/1700-2030",beefndl.png,C H
i'm pasta,118,106台北市大安區和平東路二段118巷50號,80-155,$ $$,西式,麵,麵食,葷,有,40,"日一二三四五六,1100-1530/1700-2030",pasta01.png,C H
小李子蘭州牛肉拉麵館,118,106台北市大安區和平東路二段118巷57號,90-290,$ $$ $$$,中式,麵,麵食,葷,有,40,"日一二三四五,1130-1430/1700-2030",spicyndl.png,C H
呂巷仔內米粉湯,118,106台北市大安區和平東路二段118巷48號,25-50,$,台式,麵、米粉,麵食,葷,有,40,"一二三四五六,1030-1430/1600-2000",noodle.png,C H
台南周式冰鎮滷味,118,106台北市大安區和平東路二段118巷53號,90-320,$ $$ $$$ $$$$,台式,滷味,滷味,葷,無,0,"日一二三四五六,1000-2200",luway.png,C H
河內美食,118,106台北市大安區和平東路二段118巷61號,90-110,$ $$,越式 東南亞料理,飯、麵、河粉,米食 麵食,葷,有,15,"日一二三四五六,1100-2100",vietnam.png,C H
滇味小廚,118,106台北市大安區復興南路二段340巷5號,85-150,$ $$,東南亞料理,飯、麵、米粉,米食 麵食,葷,有,40,"日一二三四五六,1100-1400/1700-2100",southeast.png,C H
fudge,118,106台北市大安區和平東路二段118巷51號,50-80,$,西式,糕點,糕點,葷,無,0,"一二三四五,1100-1600",cafe.png,H
好餵健康餐盒,118,106台北市大安區復興南路二段340巷5號,90-130,$ $$,台式,飯,米食,有提供素食,有,20,"一二三四五,1100-2000",healthy.png,C H
馬祖麵館,118,106台北市大安區和平東路二段118巷49-1號,40-80,$,中式,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1030-2045",noodle.png,C H
搗飛豆花,118,106台北市大安區和平東路二段118巷47號,40-65,$,台式,輕食,輕食,有提供素食,有,20,"日一二三四五六,1100-2230",tofupuddng.png,C H
蒜翻天鹽酥雞,118,106台北市大安區和平東路二段118巷44號,25-150,$ $$,台式,輕食,輕食,有提供素食,無,0,"日一二三四五六,1400-2400",chicken.png,C H
Oneway Cafe,118,106台北市大安區和平東路二段118巷38-1號,60-130,$ $$,西式,糕點、輕食、麵,麵食 糕點 輕食,葷,有,15,"日一二三四五六,0930-2200",coffee01.png,C H
Barkers,118,106台北市大安區和平東路二段118巷41號,200-400,$$ $$$ $$$$,西式,麵、漢堡、輕食、披薩,麵食 漢堡 輕食 披薩,有提供素食,有,40,"一二三四五六,1100-1500/1700-2100",pizza.png,C H
巧味快餐,118,106台北市大安區和平東路二段118巷43號,90-100,$,台式,飯,米食,葷,有,40,"日一二三四五,1100-1400/1700-2000",bento.png,C H
采味食光,118,106台北市大安區和平東路二段118巷36號,100-220,$ $$ $$$,中式,飯、麵,米食 麵食,葷,有,40,"日一二三四五六,1145-1400/1715-2030",noodle.png,C H
越悅越南茶餐廳,118,106台北市大安區和平東路二段118巷45號,80-160,$ $$,東南亞料理,飯、河粉,米食 麵食,葷,有,30,"一二三四五六,1100-1400/1700-2000",vietnam.png,C H
成都川菜小吃,118,106台北市大安區和平東路二段118巷41號,80-300,$ $$ $$$,中式,飯,米食,葷,有,40,"日一二三四五六,1130-2015",spicyndl.png,C
湄賽雲泰料理,118,106台北市大安區和平東路二段118巷39號,140-230,$$ $$$,東南亞料理,飯,米食,葷,有,40,"日二三四五六,1130-1400/1700-2100",southeast.png,C H
貝倫烘焙餐坊,118,106台北市大安區和平東路二段118巷37號,200-400,$$ $$$ $$$$,西式,飯、麵、輕食,米食 麵食 輕食,有提供素食,有,40,"日一二三四五六,0800-2100",coffee01.png,C H
黎記北越河粉,118,106台北市大安區和平東路二段118巷54弄9號,80-110,$ $$,東南亞料理,飯、河粉,米食 麵食,葷,有,30,"一二三四五六,1100-2100",vietnam.png,C H
Ooh Cha Cha 自然食科技大樓 & Hooch,118,106台北市大安區和平東路二段118巷4-1號,200-350,$$ $$$ $$$$,美式 西式,飯、麵、漢堡、輕食,米食 麵食 漢堡 輕食,全素,有,20,"日一二三四五六,1000-2200",coffee01.png,C H
卡帛素食烘培‧義式廚房‧港式餐點,118,106台北市大安區復興南路二段308巷5號,100-300,$ $$ $$$,西式 中式,飯、麵、輕食,米食 麵食 輕食,全素,有,40,"日一二三四五六,0800-2200",coffee01.png,C H
松田日式飯糰,118,106台北市大安區和平東路二段118巷5號,25-50,$,日式,飯,米食,有提供素食,有,5,"一二三四五,0715-1400/1700-1900 六,0715-1100",onigiri.png,C H
發現義大利麵,118,106台北市大安區和平東路二段118巷2之2號,110-150,$$,西式,飯、麵,米食 麵食,葷,有,30,"日一二三四五六,1100-2100",pasta01.png,C H
麵工坊義大利麵,118,106台北市大安區和平東路二段118巷37號,150-350,$$ $$$ $$$$,西式,飯、麵、披薩、輕食,米食 麵食 披薩 輕食,有提供素食,有,40,"日一二三四五六,1130-1400/1730-2030",pasta01.png,C H
靚咖哩,118,106台北市大安區和平東路二段118巷2號,100-130,$ $$,日式,飯,米食,葷,有,15,"一二三四五,1100-1430/1630-2030 六,1100-1400",curry02.png,C
山西刀削麵,118,106台北市大安區和平東路二段118巷2號,60-100,$,中式,麵,麵食,葷,有,30,"日一二三四五六,1100-1400/1700-2030",ndl2.png,C H
小姐姐麻辣食堂,118,106台北市大安區和平東路二段118巷4弄2號,60-120,$ $$,台式,麵,麵食,葷,有,30,"日一二三四五六,1130-2200",spicyndl.png,C
阿英海產粥,118,106台北市大安區復興南路二段268號,80-130,$ $$,台式,粥,米食,葷,有,10,"一二三四五,1100-1330/1630-2300",okayu.png,C
胖胖原味麻辣燙,118,106台北市大安區復興南路二段308號,80-150,$ $$,台式,麵,麵食,葷,有,20,"一二三四五六,1230-2230",spicyndl.png,C
全國食養健康素食自助餐,118,106台北市大安區復興南路二段314號,50-120,$ $$,台式,飯,米食,全素,有,20,"日一二三四五六,1030-1400/1630-2000",vege.png,C H
點亮咖啡,118,106台北市大安區復興南路二段332號,120-200,$$,西式,糕點、輕食,糕點 輕食,葷,有,20,"日一二三四五六,1200-1900",coffee01.png,H
弁當工場,118,106台北市大安區復興南路二段344號,90-110,$ $$,中式 日式 西式 韓式 東南亞料理,飯,米食,葷,有,30,"一二三四五六,0900-1300/1630-1900",bento.png,C H
阿英羊肉羹,118,106台北市大安區復興南路二段336號,40-100,$,台式,飯、麵,米食 麵食,葷,有,20,"一二三四五,1100-1400/1700-2000",noodle.png,C
瑞榮燒臘,118,106台北市大安區復興南路二段346號,80-130,$ $$,中式 港式,飯、麵,米食 麵食,葷,有,20,"一二三四五,1100-1400/1700-1900",hk.png,C H
壹之穴沾麵專門店,118,106台北市大安區復興南路二段350號,220-300,$$$,日式,麵,麵食,麵,有,30,"二三四五六,1200-1400/1700-2000",tukemen.png,C H
七里亭Bar茶飲簡餐,118,106台北市大安區復興南路二段358號,100-120,$ $$,台式,飯,米食,有提供素食,有,25,"日二三四五六,1100-1500/1700-2030",bento.png,C H
長興小舖,118,106台北市大安區復興南路二段362號,70-220,$ $$ $$$,台式,麵,麵食,葷,有,25,"一二四五,1130-1400/1700-2000 三六,1130-1400",beefndl.png,C H
池先生kopitiam,118,106台北市大安區復興南路二段385號,95-175,$ $$,南洋料理,飯、麵,米食 麵食,有提供素食,有,30,"日一二三四五六,**",southeast.png,C H
芝加哥比薩,118,106台北市大安區復興南路二段379號,320-430,$$$$,西式,披薩,披薩,有提供素食,有,30,"日一二三四五六,1100-2000",pizza.png,C H
麥味登,118,106台北市大安區復興南路二段377號,25-160,$ $$,台式 西式 美式,麵、飯、輕食,米食 麵食 輕食,有提供素食,有,30,"日二三四五六,0630-1430",mwd.png,C H
RUFOUS COFFEE ROASTERS,118,106台北市大安區復興南路二段339號,120-260,$$ $$$,西式,糕點、輕食,糕點 輕食,有提供素食,有,25,"日一二三五六,1300-2130",coffee01.png,C H
胖老爹,118,106台北市大安區復興南路二段333號,30-125,$ $$,西式 美式,速食、輕食,炸物 輕食,葷,有,10,"日一二三四五六,1600-2300",chicken.png,C H
雪球咖啡,118,106台北市大安區復興南路二段331號,40-75,$,西式,咖啡、輕食,輕食,葷,有,5,"日一二三四五六,0700-1500",coffee01.png,C H
樂町屋,118,106台北市大安區復興南路二段325號,120-140,$$,日式,飯、麵,米食 麵食,葷,有,20,"日一二三四五六,1100-1530/1700-2130",donburi.png,C H
Prozac Balcony 百憂解陽台,118,106台北市大安區復興南路二段313號,150-400,$$ $$$ $$$$,西式 美式,酒、輕食,輕食,葷,有,25,"日一二三四五六,0000-0200/2000-2400",bar.png,C H
寶飽的店,118,106台北市大安區復興南路二段309號,25-90,$,台式,飯、麵、輕食,米食 麵食 輕食,葷,有,10,"一二三四五六,0600-1430",bf.png,C H
貞有緣素食,118,106台北市大安區復興南路二段340巷2號,40-65,$,台式,飯、麵、麵疙瘩,米食 麵食,全素,有,10,"一二三四五,1130-1430/1700-2000",vege.png,C H
戰醬燒肉,正門到台電大樓,台北市中正區羅斯福路三段316巷7-3號,4.90E+12,$$$$$,日式,燒肉,烤物,葷,有,50+,"日一二三四五六,1200-2200",grill.png,C H
香港亨記,正門到台電大樓,台北市中正區羅斯福路三段316巷9弄4號,100-130,$ $$,港式 中式,飯、麵,米食 麵食,有提供素食,有,50+,"日一二三四五六,1100-2100",hk.png,C H
Mr. 拉麵野崎家,正門到台電大樓,台北市中正區羅斯福路三段316巷9弄2號,149-199,$$,日式,麵,麵食,葷,有,50+,"日一二三四五六,1130-2100",ramen01.png,C
Mr. 雪腐,正門到台電大樓,台北市中正區羅斯福路三段244巷21號,180,$$,台式 韓式 西式 日式,鍋物,鍋物,葷,有,45,"日一二三四五六,1200-2200",hot01.png,C
貳樓,正門到台電大樓,台北市中正區羅斯福路三段316巷9弄7號,300-600,$$$ $$$$ $$$$$,西式 東南亞料理 日式 韓式,麵、飯、肉排,米食 麵食 排餐,有提供素食,有,50+,"一二三四五,1000-2200 六日,0800-2200",2f.png,C H
Ville Cafe,正門到台電大樓,台北市中正區羅斯福路三段284巷5號,200-260,$$ $$$,西式,麵、飯、漢堡,米食 麵食 漢堡,葷,有,50+,"日一二三四五六,1130-2130",burger.png,C H
愛樂廚房,正門到台電大樓,台北市中正區羅斯福路三段282號2樓,"一二三四五,中午350 其他380",$$$$,韓式,烤肉,烤肉,葷,有,50+,"一二三四五,1130-1430/1700-2200 六日,1130-2200",grill.png,C H
右手餐廳,正門到台電大樓,台北市中正區羅斯福路三段306號,午餐180-200 其他280-400,$$$ $$$$ $$$$$,東南亞料理,麵、飯、河粉,麵食,葷,有,50+,"一二三四五,1100-1500/1700-2200 六日,1100-2200",southeast.png,C H
池先生,正門到台電大樓,台北市中正區羅斯福路三段284巷10號,180-240,$$ $$$,東南亞料理,麵、飯,米食 麵食,葷,有,40,"一二三四五,1130-1530/1700-2045 六日,1130-2045",southeast.png,C H
韓江館銅盤烤肉,正門到台電大樓,台北市中正區羅斯福路三段316巷9弄6號,午餐330 其他420,$$$$,韓式,烤肉,烤物,葷,有,50+,"日一三四五六,1130-1500/1700-2200",grill.png,C H
赤神,正門到台電大樓,台北市中正區羅斯福路三段286巷4弄14號,250-400,$$$ $$$$,日式,飯,米食,葷,有,50+,"一二三四五,1130-1500/1700-2200 六日,1130-2200",tonkatu.png,C H
銀座河粉蛋麵,正門到台電大樓,台北市中正區羅斯福路三段286巷4弄6號,95-130,$ $$,越式,麵、飯,米食 麵食,葷,,35,"日一二三四五六,1100-1400/1700-2100",vietnam.png,C H
如來素食樂園,正門到台電大樓,台北市中正區羅斯福路三段284巷3號,不拘,$ $$ $$$ $$$$ $$$$$,台式,麵、飯、米粉,米食 麵食,素,有,25,"日一二三四五六,1100-1500/1700-1945",vege.png,C H
尚家香,正門到台電大樓,台北市中正區汀州路三段137號,80-130,$ $$,雲南料理 中式,麵、巴巴絲、米線、河粉,麵食,葷,有,45,"日一二三四五六,1130-1430/1630-2030",vietnam.png,C H
豪記水餃專賣店,正門到台電大樓,台北市中正區汀州路三段143號,50-140,$ $$,台式,水餃、麵,麵食 餃類,葷,有,15,"一二三四五,1000-2030",dumpling.png,C H
首爾之家,正門到台電大樓,台北市中正區羅斯福路三段244巷10弄14號,200-300,$$ $$$,韓式,飯、鍋物、冬粉、麵,米食 麵食 鍋物,葷,有,50+,"日二三四五六,1100-1430/1700-2130",korean.png,C H
楓苑食坊,正門到台電大樓,台北市中正區羅斯福路三段210巷10弄1號,40-115,$ $$,台式,水餃、麵、飯,米食 麵食 餃類,葷,有,30,"一二三四五,1100-1400/1600-1900",dumpling.png,C H
朕點麻小面,正門到台電大樓,台北市中正區汀州路三段77號,40-65,$,台式 中式,麵,麵食,葷,有,15,"日一二三四五六,1600-2300",noodle.png,C
炸豆丸子國王,正門到台電大樓,台北市中正區汀州路三段95號,105-200,$$,中東料理,豆子,豆,素食,有,20-,"一二三四五六,1130-1400/1630-2100",mdeast.png,C H
伯朗咖啡館（公館店）,正門到台電大樓,台北市中正區羅斯福路三段236之1號,180-330,$$ $$$ $$$$,西式,麵,麵食,有提供素食,有,50+,"日一二三四五六,0730-2000",mrbrown.png,C H
